Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-02 16:00:00+00:00,879.9053098,22719.14173,2270.846373,17069.27149,0.0,264744.5119,5567.685809,42.27629611,493344.192,389355.9856,317447.1886,6919.638915,6385.561283,116573.2372,1307614.907,301204.5191,103455.7223,879.9053098,24989.9881,1617449.549,1712275.148,221999.7816,11924.42561,233924.2072,3589518.822,19.0
2018-01-02 17:00:00+00:00,877.9278453,21397.23194,2315.427732,16740.21825,0.0,266321.5648,5665.655456,41.56642187,442615.5895,396939.0654,319804.4753,7057.149913,6394.126434,117392.491,1227411.032,302389.2486,103345.8536,877.9278453,23712.65968,1578971.903,1633146.134,205319.3611,11987.26105,217306.6222,3454015.269,21.0
2018-01-02 18:00:00+00:00,808.5847681,19931.79118,2329.508884,17371.86731,0.0,265066.6238,5692.826934,37.92126221,402146.4111,394604.698,315968.3278,7248.912465,6393.070248,113979.2179,1115488.961,269940.0219,101664.8628,808.5847681,22261.30007,1528509.877,1487093.846,192355.7845,11854.79606,204210.5806,3242884.211,23.0
2018-01-02 19:00:00+00:00,836.9766872,19211.0826,2119.472133,17103.45157,0.0,262282.5585,5649.295794,36.25845054,372652.6856,381021.5308,301788.5762,7136.265229,6377.933541,108835.8429,1056753.916,213675.6489,99117.88444,836.9766872,21330.55473,1462884.399,1369547.449,180437.787,11240.82717,191678.6141,3046278.015,24.1
2018-01-02 20:00:00+00:00,802.2478688,18560.03256,2136.723069,15730.91996,0.0,254237.8719,5451.764055,30.30569956,349180.0175,359430.9606,278760.7152,7102.424969,6363.354827,103880.0762,997741.0804,198912.1796,97592.83212,802.2478688,20696.75563,1380168.411,1294246.092,169311.3994,11076.4099,180387.8094,2876301.336,23.0
2018-01-02 21:00:00+00:00,794.996079,17837.75534,2057.516786,14346.30757,0.0,242402.631,5224.122379,27.64651035,347026.2908,348152.2465,257813.9601,7054.589707,6367.326063,97557.77073,959898.0174,257961.0606,95593.34421,794.996079,19895.27213,1325972.891,1313452.422,170888.4998,10699.69697,181588.1968,2841703.798,21.0
2018-01-02 22:00:00+00:00,771.3394339,18519.22419,1930.264684,13115.45566,91900.41644,228183.7453,4719.504582,25.79896193,372841.3015,336390.3572,237811.5921,6885.033594,6384.616028,88615.35307,1003849.055,305500.4962,92795.5118,771.3394339,20449.48887,1386873.174,1402145.063,175948.764,10130.5859,186079.3499,2996318.436,18.0
2018-01-02 23:00:00+00:00,732.1960359,18316.98501,2030.586422,11893.58872,94455.6775,212403.2391,4450.122766,23.65780159,381514.4251,330160.8616,220224.7703,6477.689657,6393.861534,86839.90363,992597.1246,300496.3825,90690.28245,732.1960359,20347.57143,1354837.798,1383783.79,173744.658,10044.40978,183789.0677,2943490.442,18.0
2018-01-03 00:00:00+00:00,716.7681933,19013.92397,2082.011441,10828.40295,94455.6775,199069.1859,4116.554257,19.14651635,379485.4514,308379.6398,206204.4264,6318.798905,6393.769538,82066.44472,963238.5387,256809.0408,83848.68359,716.7681933,21095.93541,1297337.498,1303896.263,163784.7023,9453.305511,173238.0079,2796284.491,17.1
2018-01-03 01:00:00+00:00,671.9851649,18484.63183,1998.399508,10446.36115,94455.6775,175640.2298,3808.413659,18.76470847,347771.9142,294926.2565,194728.1838,6224.886539,6386.921068,71662.35252,860174.7366,210460.7926,75339.05311,671.9851649,20483.03133,1206069.961,1145974.582,149703.6273,8781.150099,158484.7774,2531684.355,16.0
